
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         96 K
Secure System                   88 Services                   0     30,888 K
Registry                       156 Services                   0     56,120 K
smss.exe                       548 Services                   0        352 K
csrss.exe                      904 Services                   0      2,568 K
wininit.exe                    568 Services                   0      2,376 K
csrss.exe                      576 Console                    1     17,600 K
winlogon.exe                  1068 Console                    1      6,272 K
services.exe                  1108 Services                   0      7,248 K
LsaIso.exe                    1132 Services                   0      1,492 K
lsass.exe                     1140 Services                   0     15,220 K
svchost.exe                   1260 Services                   0     40,432 K
fontdrvhost.exe               1296 Services                   0      2,256 K
fontdrvhost.exe               1304 Console                    1      7,136 K
WUDFHost.exe                  1320 Services                   0      3,432 K
svchost.exe                   1432 Services                   0     19,252 K
svchost.exe                   1488 Services                   0      4,148 K
dwm.exe                       1584 Console                    1    111,240 K
svchost.exe                   1676 Services                   0      3,636 K
svchost.exe                   1696 Services                   0      7,532 K
svchost.exe                   1732 Services                   0      3,744 K
svchost.exe                   1740 Services                   0      5,812 K
svchost.exe                   1772 Services                   0      9,444 K
svchost.exe                   1816 Services                   0      1,552 K
svchost.exe                   1912 Services                   0      7,516 K
svchost.exe                   2004 Services                   0     12,628 K
svchost.exe                   2016 Services                   0      2,340 K
svchost.exe                    616 Services                   0      5,656 K
svchost.exe                   1164 Services                   0      4,652 K
svchost.exe                   2144 Services                   0      6,092 K
svchost.exe                   2156 Services                   0      4,476 K
svchost.exe                   2184 Services                   0      4,332 K
svchost.exe                   2404 Services                   0     10,224 K
svchost.exe                   2412 Services                   0      5,100 K
svchost.exe                   2420 Services                   0      2,984 K
svchost.exe                   2620 Services                   0      3,844 K
svchost.exe                   2692 Services                   0      7,584 K
svchost.exe                   2728 Services                   0     12,084 K
svchost.exe                   2776 Services                   0      8,152 K
svchost.exe                   2972 Services                   0      7,668 K
svchost.exe                   3024 Services                   0     17,456 K
svchost.exe                   3020 Services                   0     15,740 K
TouchpointAnalyticsClient     3156 Services                   0     17,960 K
svchost.exe                   3260 Services                   0     10,200 K
svchost.exe                   3304 Services                   0      8,012 K
svchost.exe                   3376 Services                   0      6,356 K
svchost.exe                   3496 Services                   0      5,284 K
unsecapp.exe                  3700 Services                   0      4,616 K
WmiPrvSE.exe                  3852 Services                   0     10,424 K
amdfendrsr.exe                3984 Services                   0      4,084 K
atiesrxx.exe                  3992 Services                   0      1,564 K
svchost.exe                   2316 Services                   0      6,792 K
svchost.exe                   3324 Services                   0      1,680 K
svchost.exe                   3188 Services                   0      6,476 K
svchost.exe                   4120 Services                   0      5,256 K
svchost.exe                   4128 Services                   0      4,348 K
Memory Compression            4164 Services                   0    129,432 K
svchost.exe                   4356 Services                   0     11,388 K
svchost.exe                   4440 Services                   0      4,760 K
svchost.exe                   4484 Services                   0     13,096 K
svchost.exe                   4532 Services                   0      9,620 K
spoolsv.exe                   4640 Services                   0      7,296 K
svchost.exe                   4748 Services                   0     12,412 K
svchost.exe                   4800 Services                   0      3,260 K
svchost.exe                   4892 Services                   0      3,980 K
armsvc.exe                    5044 Services                   0      1,204 K
svchost.exe                   5052 Services                   0     24,432 K
FMService64.exe               5060 Services                   0      3,164 K
HPCommRecovery.exe            5068 Services                   0      8,368 K
AnyDesk.exe                   5076 Services                   0      4,788 K
RtkBtManServ.exe              5084 Services                   0      3,248 K
SECOMN64.exe                  5092 Services                   0      4,892 K
BrRemoteMgmtSvc.exe           5104 Services                   0      3,296 K
svchost.exe                   5112 Services                   0      1,900 K
svchost.exe                   3328 Services                   0     14,796 K
svchost.exe                   4212 Services                   0      1,896 K
svchost.exe                   4424 Services                   0      5,796 K
BrService.exe                 4504 Services                   0     22,476 K
svchost.exe                   2260 Services                   0      4,556 K
svchost.exe                   3228 Services                   0      5,944 K
svchost.exe                   3204 Services                   0     30,032 K
OfficeClickToRun.exe          5140 Services                   0     18,660 K
TeamViewer_Service.exe        5316 Services                   0      5,892 K
svchost.exe                   5604 Services                   0      5,972 K
svchost.exe                   5640 Services                   0      3,560 K
